  circum   weight   wingspan   cwidth   cheight   spec     age     sex
   75.5      9.6      228.0     25.5      20.5       0       1       M
   72.0     10.8      233.0     24.5      19.5       0       1       M
   69.5      5.6      218.5     24.0      17.5       0       1       F
   72.0      9.8      218.0     24.5      19.0       0       1       F
   67.5      8.2      227.0     25.3      17.2       0       0       M
   68.5      6.0      220.0     25.2      18.0       0       1       F
   70.0      7.0      232.0     26.0      18.5       0       1       F
   72.5      9.6      237.0     26.5      20.0       0       1       M
   72.0      9.0      223.0     24.0      20.5       0       1       M
   72.0      8.8      227.0     24.5      21.5       0       1       M
   69.5      8.0      236.5     24.0      19.5       0       1       F
   72.0      9.4      224.6     27.3      17.6       0       1       F
   69.0      7.2      225.5     24.4      20.0       0       1       M
   70.0      8.5      218.5     25.5      19.0       0       1       M
   73.0      7.7      230.8     27.8      16.0       0       1       M
   71.5      8.0      230.5     27.0      17.0       0       1       M
   74.0      9.2      232.0     24.5      20.0       0       1       M
   73.0      9.0      227.0     25.3      20.0       0       1       M
   66.0      6.5      226.0     26.0      17.5       0       1       F
   71.0      9.4      225.0     26.5      20.0       0       1       M
   77.5      9.5      232.0     28.5      17.5       0       1       M
   66.0      8.2      223.5     26.0      19.0       0       1       M
   68.0      7.7      223.0     23.5      18.5       0       0       M
   74.0      8.2      223.0     26.5      17.5       0       1       M
   66.0      7.6      210.0     22.0      19.0       0       1       F
   77.0     11.4      230.0     28.0      19.5       0       1       F
   66.0      6.2      219.0     23.5      18.0       0       1       F
   72.0      8.4      218.0     25.0      18.5       0       1       F
   69.5      9.0      233.0     23.5      18.5       0       1       M
   70.0      6.2      218.5     23.5      18.5       0       1       F
   52.5      4.1      181.0     18.5      14.5       0       0       F
   74.0      9.0      223.0     25.0      20.0       0       1       M
   74.0      7.4      223.0     25.0      17.0       0       1       M
   55.5      6.8      230.0     22.5      19.5       0       1       M
   67.0      6.6      216.5     22.0      18.5       0       1       F
   73.0      6.8      221.0     24.5      19.5       0       1       M
   66.0      5.8      230.0     25.0      16.0       0       0       M
   65.0      6.3      230.0     21.5      17.0       0       0       F
   71.5      7.6      231.0     24.0      18.5       0       1       M
   71.0      8.4      229.0     25.0      18.0       0       1       F
   70.0      6.9      238.0     24.5      18.5       0       1       M
   66.0      7.9      227.0     23.0      17.5       0       1       F
   65.5      6.4      223.0     21.0      18.0       0       1       F
   74.0      6.8      229.0     26.0      19.0       0       1       M
   74.0      7.2      224.0     26.5      18.5       0       1       F
   79.0     10.6      229.0     29.0      19.0       0       1       M
   68.0      8.0      235.0     24.0      20.0       0       1       M
   66.0      7.0      223.0     22.0      17.5       0       1       F
   73.0      6.9      224.0     26.0      18.5       0       0       M
   67.0      7.8      225.0     26.0      16.5       0       1       F
   70.0      7.50     213.0     24.00     18.5       0       1       F
   73.0      7.20     232.0     25.50     18.5       0       1       F
   76.5      8.80     239.0     26.50     19.5       0       1       M
   72.0      8.40     236.0     24.00     18.5       0       1       M
   69.5      7.80     239.5     24.00     19.0       0       1       M
   73.5     10.40     230.0     27.00     20.0       0       1       M
   72.0      8.60     222.0     26.00     18.0       0       0       M
   72.0      8.50     238.5     26.50     18.5       0       1       F
   72.0      8.60     236.0     24.00     19.0       0       1       M
   61.0      6.40     231.0     21.00     17.0       0       1       F
   70.0      7.80     244.0     23.50     17.0       0       1       M
   65.0      7.20     235.0     23.50     17.5       0       1       F
   72.0      9.40     230.0     24.00     19.0       0       1       F
   78.0     10.20     243.0     26.00     19.0       0       1       M
   73.0      8.60     245.0     26.00     20.5       0       1       M
   65.0      6.80     216.0     23.00     17.5       0       1       F
   70.0      6.20     227.0     24.00     18.5       0       1       F
   66.0      7.60     223.0     23.00     18.0       0       1       F
   66.0      6.60     239.0     24.50     18.0       0       1       M
   70.5      8.50     229.0     24.50     18.0       0       1       M
   66.0      5.90     222.0     21.00     19.0       0       1       F
   70.5      7.30     236.0     25.00     21.0       0       0       M
   71.0      8.00     230.0     26.50     16.5       0       1       F
   72.5      8.50     233.0     27.50     16.0       0       1       M
   65.0      8.40     223.0     21.50     19.0       0       0       M
   70.0      8.20     241.0     25.50     18.0       0       1       M
   72.0      9.50     243.0     26.00     18.0       0       1       M
   62.0      7.00     189.0     21.00     16.5       1       1       F
   61.0      7.50     195.0     21.00     14.5       1       1       F
   61.5      5.75     190.0     22.00     14.5       1       1       F
   62.0      6.50     188.0     24.00     15.0       1       1       F
   63.0      8.25     215.0     26.25     15.5       1       1       F
   60.5      7.00     193.0     25.50     14.5       1       1       M
   61.0      5.75     177.0     23.00     16.0       1       1       F
   62.0      6.25     190.0     22.00     16.5       1       1       F
   62.5      6.50     185.0     22.50     15.5       1       1       M
   60.5      6.50     193.0     22.00     15.5       1       1       F
   59.0      6.00     188.0     20.50     16.0       1       0       F
   63.0      6.75     183.0     22.00     17.0       1       1       M
   60.5      6.00     205.0     26.50     15.5       1       1       F
   59.7      6.50     190.5     21.50     15.5       1       1       M
   60.0      6.75     203.0     21.00     16.2       1       1       M
   61.0      7.00     201.0     20.00     16.0       1       1       F
   61.0      7.00     196.0     21.50     16.5       1       1       M
   63.0      7.25     205.5     24.00     16.5       1       1       M
