Individual_ID,matches,photos,ss_agerangemax,ss_agerangemin,age,attractiveness
415428,1,0,42,34,35,0
51944,3,3,40,30,32,36
183104,6,4,57,39,43,44
149875,7,9,34,26,33,37
379374,2,5,68,45,50,46
117098,9,7,30,24,27,20
12829,4,6,37,27,32,47
182190,1,4,50,32,41,45
69481,3,3,75,63,69,37
208207,6,10,39,27,35,35
102719,5,10,26,20,22,42
151640,3,6,47,32,35,32
102541,6,3,32,18,32,0
59646,7,8,45,22,46,36
49361,10,2,30,20,27,42
151554,14,6,39,20,29,37
161369,3,5,60,46,54,38
287480,1,3,37,25,27,0
239474,7,6,63,43,57,39
92897,6,3,28,19,21,40
361863,4,6,36,25,28,35
182207,4,3,55,45,55,37
390186,1,7,28,20,21,38
241355,1,10,47,38,42,0
182212,2,1,63,47,52,42
420187,6,10,34,26,37,43
182214,3,2,50,35,47,48
243251,1,4,47,38,44,32
11352,15,12,50,22,29,44
259840,1,10,45,28,36,31
182219,7,2,40,30,35,46
150381,5,3,52,35,39,41
40444,8,2,40,25,35,0
182222,3,1,53,36,40,39
387612,1,3,59,40,44,26
390181,2,1,68,46,51,39
423839,4,8,65,47,54,41
98813,1,3,52,44,47,26
139732,11,9,51,35,39,43
352221,10,4,44,32,33,47
290643,2,10,50,30,42,43
13551,6,6,26,18,26,43
111908,2,11,31,24,32,35
66236,4,2,57,39,52,25
390176,1,4,55,49,51,38
88942,15,12,28,22,25,40
388417,4,6,29,21,24,0
333516,3,1,54,37,49,35
225560,3,4,45,39,40,35
370288,1,10,26,18,26,42
278089,5,6,57,39,53,31
434901,1,6,40,28,35,42
76355,11,5,51,35,48,47
102333,1,5,61,55,55,41
161252,1,5,39,28,38,0
218707,3,1,65,45,50,44
215268,7,4,51,34,37,23
387799,2,8,47,38,47,35
155077,3,4,46,30,44,38
117585,2,6,25,19,22,34
13491,4,8,32,18,27,38
182252,13,8,52,39,48,42
343713,3,4,35,18,35,40
182254,3,5,50,38,51,38
235025,25,2,39,30,40,32
19038,29,10,31,21,28,43
77824,3,10,40,27,30,40
162947,18,0,44,30,40,44
427901,2,0,65,45,50,35
390171,1,5,67,45,50,28
193497,1,2,50,20,34,33
243487,19,2,45,30,42,39
138784,2,7,72,59,60,27
24110,1,10,47,21,33,39
430698,1,7,33,23,25,44
5079,25,10,37,21,32,39
65287,7,8,30,18,25,29
40438,2,5,69,47,56,39
72355,33,6,60,38,63,43
182271,2,1,52,40,43,43
276419,5,2,40,28,28,33
324043,1,5,56,38,42,19
146167,7,4,35,18,24,37
61613,3,3,44,30,40,31
314279,8,2,70,54,60,37
180586,1,8,45,29,35,35
60834,1,2,37,28,31,33
127230,5,7,39,26,37,36
365473,3,2,45,29,38,37
124507,2,2,35,26,29,36
189950,20,9,34,25,34,41
182285,1,1,69,47,64,40
69663,1,4,46,40,40,39
390179,3,12,50,38,43,40
182288,20,6,45,29,34,37
340223,1,11,34,28,29,0
190818,1,5,30,24,24,0
351956,6,6,35,24,26,37
306660,1,8,27,20,24,46
107972,20,5,39,28,33,31
6001,2,7,36,21,40,42
95862,4,1,38,26,28,26
240210,8,2,36,27,27,34
267608,1,1,68,57,61,44
390153,2,1,32,26,29,44
251553,1,2,38,28,40,36
398890,4,1,65,44,59,30
346999,1,2,96,65,72,41
249703,4,4,43,29,32,36
8668,2,10,73,50,55,33
225441,1,5,48,42,46,45
332676,1,3,39,26,33,34
337131,6,5,49,35,39,36
182309,5,11,36,24,37,49
156741,14,1,45,27,37,0
200392,2,1,30,20,27,34
312150,6,7,45,21,34,41
390576,12,9,30,21,25,0
109726,6,5,34,23,25,42
429148,1,12,47,40,41,26
14889,3,10,54,32,49,33
256288,16,5,32,22,24,33
410763,1,4,29,20,28,29
424222,1,6,24,18,20,27
14864,3,5,46,21,44,45
191417,1,7,40,27,30,40
417087,6,4,35,28,32,33
407177,2,5,45,31,34,28
133202,9,4,35,23,25,32
79,43,4,54,37,50,42
241462,3,3,53,31,38,41
207617,3,2,34,23,31,42
325560,1,1,91,62,68,38
180316,11,3,32,24,30,36
120835,1,4,51,35,36,0
182338,1,3,30,23,26,0
51003,3,5,31,21,24,41
97470,6,2,55,45,56,43
408576,2,2,28,19,25,28
50393,1,5,58,43,47,33
323184,3,4,39,30,32,41
144815,5,4,45,35,39,31
25286,3,1,36,25,31,38
141064,1,6,32,22,24,30
182347,5,2,36,25,38,40
34901,7,5,33,23,30,34
274145,1,2,45,30,38,0
182351,2,11,37,25,28,47
234626,4,7,40,28,28,42
239044,7,3,62,42,56,32
60921,13,3,45,35,38,44
103973,4,10,35,24,23,32
229228,9,1,33,27,27,0
412232,1,4,23,18,21,39
307502,1,2,59,45,58,40
115595,6,4,27,21,26,41
331908,1,7,35,25,31,0
399704,1,3,38,27,38,35
182364,21,6,47,32,35,38
403620,1,0,31,24,29,31
425282,1,7,53,42,46,36
266082,4,2,68,46,51,41
346470,4,5,32,21,32,36
301471,1,3,41,28,37,41
189577,7,4,32,22,24,31
244751,11,2,40,33,34,29
403488,1,3,58,43,47,31
85721,5,7,55,38,50,28
344238,1,9,35,19,32,48
184356,6,2,63,43,47,42
333200,2,5,37,25,28,30
188588,1,0,63,57,65,40
115796,14,12,38,25,25,34
147629,9,5,53,38,46,35
160942,1,2,63,49,56,37
321910,3,2,52,43,47,35
351583,12,6,33,20,30,41
24162,17,6,39,26,38,48
94877,6,6,63,43,48,30
338101,2,2,61,42,47,20
138714,6,5,38,25,32,34
404585,1,5,36,25,29,29
236863,3,5,65,45,54,38
413578,1,4,48,33,45,39
139807,2,5,37,28,34,34
217969,6,4,36,23,25,36
80733,4,12,36,25,29,40
394146,4,1,40,27,36,35
218666,1,2,39,26,29,49
380157,1,4,36,25,34,30
36384,4,2,67,48,53,33
135699,2,4,54,45,52,28
92010,6,11,26,18,24,40
81249,4,3,55,46,53,37
143570,12,9,49,34,48,46
416784,7,5,59,45,59,36
201825,10,2,35,24,26,37
229019,1,7,43,29,33,40
392366,1,1,68,47,62,37
182409,6,2,32,24,30,43
390132,2,6,40,27,27,38
328821,2,8,34,23,31,36
182412,1,5,75,40,52,39
47162,6,12,41,25,28,40
213559,4,4,32,21,33,37
81287,3,1,36,21,35,19
171951,6,4,41,25,37,32
390131,1,3,36,23,27,29
271806,3,5,47,33,47,21
258223,4,5,30,21,26,36
223798,1,1,61,42,46,29
240640,3,10,40,28,34,0
434033,1,0,37,25,28,37
239760,8,3,36,25,27,38
345602,11,3,35,25,29,45
95864,4,9,33,23,27,40
390126,1,1,54,48,66,38
167231,7,1,26,20,24,24
182432,1,6,47,32,35,41
30058,6,3,65,54,59,27
13972,12,2,30,23,28,38
242186,4,1,56,48,51,37
252726,7,1,60,30,42,24
278857,3,10,41,28,31,26
160876,2,3,45,30,33,26
323679,2,5,41,27,42,42
40987,42,9,31,24,32,43
182443,1,7,55,46,62,38
303127,6,5,57,39,44,43
99105,1,6,40,30,36,0
182446,1,2,50,34,47,45
109497,4,7,38,28,31,42
245258,1,2,50,41,45,37
317524,1,2,37,25,28,32
390119,1,3,81,55,63,37
418223,1,4,58,43,43,37
3155,2,8,37,24,35,34
80976,6,4,36,27,31,36
96992,5,8,33,24,26,39
298750,2,4,23,18,19,46
396901,2,3,65,51,61,40
2402,1,4,63,47,55,43
137396,2,4,32,22,24,23
67754,7,8,30,18,25,40
316882,3,11,42,32,34,35
390553,3,5,43,32,35,42
118096,3,3,47,39,41,45
162984,8,6,32,22,24,36
184677,16,11,47,31,31,45
169146,2,1,49,33,34,37
209873,4,6,41,27,30,28
167407,4,4,53,38,42,30
182472,4,2,51,35,53,46
390117,4,4,31,23,26,28
182474,3,2,67,46,61,31
403869,6,4,36,25,27,39
286575,3,2,73,50,66,25
223411,2,3,42,30,38,0
121740,2,4,45,35,37,29
185105,10,3,30,19,26,18
327774,4,3,40,27,30,32
166443,4,8,42,25,33,42
182483,5,1,55,40,61,38
78246,2,4,28,19,26,36
349957,6,7,36,27,31,42
85403,3,1,45,35,39,35
161652,6,4,52,39,52,43
223059,13,1,32,22,29,27
21242,10,3,43,30,42,37
129703,2,10,65,45,50,35
179501,1,2,70,51,69,30
