claim_type,claim_amount,fraudulent,coverage,deductible,townsize,gender,edcat,job_start_date,retire,income,marital
Fire/Smoke,192.287,No,436,2000,"> 250,000",Female,High school degree,4/16/81,No,193,Unmarried
Fire/Smoke,355.896,No,925,1000,"50,000-249,999",Male,High school degree,11/4/82,No,203,Unmarried
Theft/Vandalism,3.53,No,79,1000,"> 250,000",Female,High school degree,8/20/04,No,49,Unmarried
Wind/Hail,33.452,No,607,1000,"> 250,000",Male,Some college,7/29/99,No,118,Married
Theft/Vandalism,4.029,No,119,3000,"< 2,500",Female,Did not complete high school,7/4/04,No,18,Unmarried
Contamination,66.358,No,144,500,"50,000-249,999",Male,Some college,6/19/69,Yes,25,Married
Wind/Hail,29.391,No,636,1000,"2,500-9,999",Male,College degree,11/27/08,No,36,Unmarried
Water damage,28.993,No,254,2000,"> 250,000",Female,Did not complete high school,7/24/88,Yes,13,Married
Contamination,128.315,No,291,1000,"50,000-249,999",Male,College degree,9/17/97,No,91,Unmarried
Theft/Vandalism,4.843,No,114,1000,"< 2,500",Female,Did not complete high school,4/11/05,No,23,Married
Theft/Vandalism,32.442,No,548,2000,"> 250,000",Female,High school degree,11/22/02,No,40,Married
Wind/Hail,2.777,No,109,1000,"< 2,500",Female,Post-undergraduate degree,2/6/04,No,62,Married
Water damage,20.313,No,226,500,"50,000-249,999",Male,High school degree,1/25/06,Yes,28,Married
Water damage,25.878,No,252,2000,"10,000-49,999",Female,High school degree,4/16/01,No,48,Married
Theft/Vandalism,114.465,No,668,3000,"50,000-249,999",Male,High school degree,6/25/80,No,152,Married
Wind/Hail,16.88,No,212,1000,"10,000-49,999",Female,Some college,10/20/04,No,62,Married
Wind/Hail,48.509,No,1003,3000,"10,000-49,999",Female,Post-undergraduate degree,3/23/96,No,160,Married
Wind/Hail,2.291,No,64,1000,"< 2,500",Female,Post-undergraduate degree,12/5/04,Yes,18,Unmarried
Wind/Hail,46.81,No,781,3000,"2,500-9,999",Female,Did not complete high school,2/4/04,No,32,Married
Fire/Smoke,58.756,No,141,3000,"2,500-9,999",Female,High school degree,11/18/90,Yes,10,Unmarried
Water damage,35.859,No,118,3000,"> 250,000",Male,Some college,9/22/99,Yes,22,Married
Wind/Hail,6.067,No,120,1000,"2,500-9,999",Female,High school degree,9/11/03,No,94,Married
Wind/Hail,4.854,No,109,1000,"2,500-9,999",Male,Some college,7/1/07,No,27,Unmarried
Wind/Hail,21.087,No,364,500,"> 250,000",Female,College degree,11/18/01,No,102,Unmarried
Water damage,9.5,No,74,1000,"10,000-49,999",Female,Post-undergraduate degree,1/21/07,No,54,Unmarried
Fire/Smoke,53.142,No,136,1000,"10,000-49,999",Male,Did not complete high school,2/26/98,No,62,Married
Water damage,36.872,No,352,3000,"> 250,000",Male,High school degree,1/27/96,No,216,Married
Theft/Vandalism,3.876,No,121,1000,"2,500-9,999",Female,Did not complete high school,2/5/08,No,14,Married
Water damage,19.525,No,275,1000,"10,000-49,999",Female,High school degree,2/14/84,No,117,Married
Theft/Vandalism,4.523,No,70,500,"2,500-9,999",Male,Did not complete high school,12/5/78,Yes,10,Unmarried
Contamination,97.133,No,234,3000,"50,000-249,999",Female,High school degree,12/10/89,No,99,Married
Theft/Vandalism,5.047,No,64,1000,"10,000-49,999",Male,Some college,6/21/08,No,26,Married
Water damage,22.334,No,171,1000,"> 250,000",Female,Some college,11/23/88,No,134,Unmarried
Fire/Smoke,41.021,No,110,1000,"50,000-249,999",Male,Some college,3/25/82,No,120,Married
Fire/Smoke,79.888,No,176,1000,"< 2,500",Male,Some college,9/7/83,Yes,75,Unmarried
Water damage,9.296,No,211,1000,"< 2,500",Male,College degree,12/10/99,No,91,Unmarried
Wind/Hail,50.508,No,337,3000,"> 250,000",Female,College degree,2/22/03,No,82,Unmarried
Wind/Hail,2.882,No,83,3000,"2,500-9,999",Female,High school degree,3/26/08,No,31,Married
Theft/Vandalism,8.515,No,99,500,"> 250,000",Female,High school degree,11/24/00,No,22,Married
Wind/Hail,24.793,No,336,1000,"> 250,000",Female,Did not complete high school,12/3/92,No,34,Married
Theft/Vandalism,7.559,No,100,3000,"2,500-9,999",Male,Some college,7/12/03,Yes,11,Married
Wind/Hail,38.229,No,1006,1000,"50,000-249,999",Female,College degree,10/26/98,No,61,Married
Contamination,161.928,No,383,3000,"50,000-249,999",Male,Did not complete high school,3/11/91,No,86,Unmarried
Theft/Vandalism,3.506,No,199,1000,"> 250,000",Male,High school degree,5/28/99,No,60,Unmarried
Theft/Vandalism,18.199,No,393,1000,"2,500-9,999",Female,Some college,1/31/05,No,32,Married
Theft/Vandalism,60.197,No,1398,3000,"< 2,500",Male,Some college,7/9/01,No,212,Unmarried
Contamination,112.897,No,254,1000,"10,000-49,999",Female,High school degree,2/19/90,No,93,Married
Fire/Smoke,47.9031,Yes,136,1000,"< 2,500",Male,High school degree,8/27/08,No,15,Unmarried
Wind/Hail,2.282,No,71,1000,"> 250,000",Male,Post-undergraduate degree,2/25/08,No,20,Married
Wind/Hail,12.457,No,85,1000,"10,000-49,999",Male,Did not complete high school,1/27/70,Yes,80,Unmarried
Theft/Vandalism,6.374,No,88,3000,"2,500-9,999",Female,College degree,10/2/08,No,31,Married
Wind/Hail,8.866,No,331,3000,"< 2,500",Male,Did not complete high school,10/5/93,No,45,Married
Theft/Vandalism,4.5549,Yes,54,1000,"10,000-49,999",Male,Did not complete high school,10/6/74,Yes,29,Unmarried
Fire/Smoke,86.876,No,197,1000,"> 250,000",Female,Did not complete high school,2/13/08,No,27,Married
Water damage,13.112,No,95,3000,"10,000-49,999",Male,High school degree,3/8/97,Yes,9,Unmarried
Fire/Smoke,192,No,192,1000,"> 250,000",Male,Did not complete high school,9/11/92,No,112,Married
Fire/Smoke,126.769,No,352,2000,"2,500-9,999",Female,College degree,3/5/98,No,62,Unmarried
Contamination,309,No,309,1000,"10,000-49,999",Female,High school degree,4/17/87,No,138,Married
Wind/Hail,2.544,No,72,1000,"50,000-249,999",Female,College degree,7/5/00,No,27,Married
Fire/Smoke,422,No,422,2000,"10,000-49,999",Male,College degree,1/16/07,No,82,Married
Theft/Vandalism,23.928,No,455,1000,"> 250,000",Male,College degree,7/24/04,No,48,Married
Fire/Smoke,117.09,No,236,3000,"10,000-49,999",Male,Some college,9/26/92,No,163,Married
Water damage,6.394,No,72,500,"10,000-49,999",Female,Did not complete high school,7/23/86,Yes,10,Unmarried
Fire/Smoke,797,No,797,3000,"10,000-49,999",Male,Some college,12/23/95,No,293,Unmarried
Theft/Vandalism,10.614,No,140,2000,"2,500-9,999",Female,Did not complete high school,3/12/01,No,66,Unmarried
Wind/Hail,4.521,No,119,2000,"> 250,000",Male,College degree,1/25/07,No,30,Married
Fire/Smoke,63,No,63,3000,"50,000-249,999",Male,High school degree,1/23/07,No,15,Married
Water damage,33.165,No,315,2000,"> 250,000",Female,High school degree,12/3/82,Yes,98,Married
Wind/Hail,12.712,No,257,1000,"2,500-9,999",Female,College degree,1/13/88,No,328,Married
Theft/Vandalism,2.609,No,61,2000,"< 2,500",Female,High school degree,1/11/96,No,102,Unmarried
Wind/Hail,2.502,No,60,500,"10,000-49,999",Female,Some college,6/1/08,No,12,Married
Wind/Hail,34.198,No,483,1000,"50,000-249,999",Female,High school degree,7/15/08,No,24,Married
Wind/Hail,4.441,No,74,3000,"50,000-249,999",Female,High school degree,3/8/08,No,13,Married
Fire/Smoke,90.802,No,217,1000,"10,000-49,999",Male,College degree,1/5/97,No,90,Unmarried
Fire/Smoke,38.234,No,116,500,"> 250,000",Male,College degree,7/11/99,Yes,27,Unmarried
Theft/Vandalism,12.315,No,248,1000,"> 250,000",Male,Some college,9/17/85,No,70,Married
Wind/Hail,17.76,No,409,2000,"50,000-249,999",Male,High school degree,1/18/91,No,68,Unmarried
Fire/Smoke,307.19745,Yes,708,3000,"50,000-249,999",Male,Did not complete high school,12/24/02,No,46,Married
Wind/Hail,36.941,No,559,2000,"50,000-249,999",Male,High school degree,5/21/97,No,34,Unmarried
Fire/Smoke,41.044,No,88,1000,"< 2,500",Male,College degree,1/29/05,No,28,Unmarried
Theft/Vandalism,15.263,No,268,2000,"10,000-49,999",Female,College degree,1/19/04,No,40,Married
Theft/Vandalism,33.485,No,656,3000,"50,000-249,999",Male,Some college,2/11/99,No,52,Married
Fire/Smoke,169.918,No,400,2000,"> 250,000",Male,High school degree,10/12/04,No,26,Unmarried
Fire/Smoke,289.337,No,687,3000,"10,000-49,999",Female,High school degree,4/5/96,No,59,Unmarried
Fire/Smoke,206,No,206,3000,"> 250,000",Female,High school degree,12/13/95,No,37,Married
Fire/Smoke,36.295,No,75,1000,"> 250,000",Male,College degree,3/4/84,Yes,32,Unmarried
Fire/Smoke,209.822,No,526,3000,"10,000-49,999",Female,Some college,11/13/83,Yes,27,Unmarried
Theft/Vandalism,6.103,No,138,1000,"50,000-249,999",Male,Some college,9/20/08,No,27,Married
Wind/Hail,46.142,No,998,2000,"> 250,000",Male,Post-undergraduate degree,2/20/85,No,1026,Unmarried
Water damage,21.259,No,137,1000,"> 250,000",Male,High school degree,10/15/79,Yes,37,Married
Wind/Hail,6.544,No,253,1000,"2,500-9,999",Male,Did not complete high school,5/18/93,No,66,Married
Water damage,19.434,No,172,1000,"2,500-9,999",Female,College degree,6/21/92,No,102,Unmarried
Fire/Smoke,35.431,No,95,500,"50,000-249,999",Male,College degree,6/21/01,No,38,Unmarried
Theft/Vandalism,7.753,No,234,1000,"< 2,500",Female,Some college,9/22/07,No,30,Unmarried
Water damage,39.605,No,258,1000,"2,500-9,999",Female,Some college,9/5/91,No,55,Unmarried
Fire/Smoke,86,Yes,86,2000,"< 2,500",Female,High school degree,11/6/07,No,13,Married
Theft/Vandalism,10.51365,Yes,61,1000,"> 250,000",Male,Did not complete high school,4/7/08,No,13,Unmarried
Theft/Vandalism,4.281,No,122,500,"> 250,000",Male,High school degree,10/29/84,Yes,44,Unmarried
Theft/Vandalism,1.981,No,66,500,"> 250,000",Male,High school degree,12/4/95,Yes,12,Unmarried
Contamination,491.768,No,1167,3000,"10,000-49,999",Male,Did not complete high school,11/3/84,No,155,Married
Contamination,80.385,No,189,3000,"10,000-49,999",Female,Did not complete high school,11/12/01,No,59,Unmarried
Theft/Vandalism,24.37,No,632,3000,"< 2,500",Male,College degree,11/2/98,No,95,Married
Wind/Hail,13.077,No,224,1000,"< 2,500",Female,High school degree,9/1/08,No,18,Married
Theft/Vandalism,2.982,No,86,500,"> 250,000",Male,Did not complete high school,12/30/05,No,43,Unmarried
Fire/Smoke,413.335,No,1049,3000,"2,500-9,999",Male,College degree,1/16/05,No,155,Married
Fire/Smoke,81.751,No,187,3000,"50,000-249,999",Female,High school degree,3/25/98,No,58,Married
Contamination,196,No,196,1000,"> 250,000",Female,College degree,3/22/05,No,64,Married
Fire/Smoke,213,No,213,500,"> 250,000",Female,High school degree,3/8/88,No,159,Married
Fire/Smoke,87.849,No,254,1000,"> 250,000",Female,College degree,5/31/06,No,45,Married
Wind/Hail,3.867,No,74,500,"10,000-49,999",Male,High school degree,7/8/96,Yes,9,Married
Water damage,37.677,No,283,2000,"< 2,500",Female,College degree,2/21/08,No,55,Unmarried
Wind/Hail,3.679,No,63,500,"> 250,000",Male,Did not complete high school,8/28/00,No,41,Married
Contamination,36.48,No,90,3000,"50,000-249,999",Female,College degree,9/26/90,No,68,Married
Theft/Vandalism,8.824,No,136,1000,"> 250,000",Male,Some college,2/9/06,No,47,Married
Theft/Vandalism,59.57,No,1035,3000,"2,500-9,999",Male,High school degree,6/10/95,No,65,Married
Theft/Vandalism,38.1339,Yes,852,2000,"2,500-9,999",Female,Did not complete high school,5/25/00,No,35,Unmarried
Fire/Smoke,71.562,No,156,1000,"> 250,000",Female,Did not complete high school,3/15/02,Yes,11,Unmarried
Fire/Smoke,262,No,262,3000,"> 250,000",Male,College degree,10/27/97,No,83,Married
Theft/Vandalism,2.449,No,129,3000,"10,000-49,999",Male,College degree,4/28/02,No,38,Married
Theft/Vandalism,9.833,No,166,1000,"> 250,000",Male,College degree,2/9/92,No,97,Unmarried
Fire/Smoke,60.745,No,164,1000,"10,000-49,999",Female,College degree,9/29/07,No,45,Married
Wind/Hail,96.861,No,2108,3000,"> 250,000",Male,Did not complete high school,1/3/79,No,243,Married
Wind/Hail,7.435,No,145,2000,"> 250,000",Male,Some college,6/5/97,No,58,Married
Fire/Smoke,105,No,105,1000,"> 250,000",Male,Some college,6/7/07,No,49,Unmarried
Theft/Vandalism,2.331,No,59,1000,"> 250,000",Female,High school degree,5/28/05,No,21,Married
Wind/Hail,11.113,No,201,2000,"2,500-9,999",Female,Did not complete high school,11/26/01,No,17,Married
Theft/Vandalism,3.55,No,203,3000,"> 250,000",Female,Some college,9/13/00,No,40,Unmarried
Wind/Hail,47.472,No,1255,1000,"50,000-249,999",Female,High school degree,10/1/93,No,74,Unmarried
Fire/Smoke,416,No,416,2000,"> 250,000",Female,Post-undergraduate degree,8/2/89,No,141,Married
Fire/Smoke,72,No,72,1000,"50,000-249,999",Male,Did not complete high school,8/5/95,No,60,Married
Theft/Vandalism,3.648,No,59,1000,"50,000-249,999",Female,High school degree,12/13/08,No,14,Married
Fire/Smoke,383.963,No,1032,2000,"50,000-249,999",Female,High school degree,12/25/94,No,220,Unmarried
Theft/Vandalism,42.74025,Yes,692,3000,"2,500-9,999",Male,Some college,6/15/96,No,123,Unmarried
Wind/Hail,4.87,No,156,1000,"2,500-9,999",Female,Some college,9/20/07,No,24,Married
Wind/Hail,4.379,No,154,2000,"< 2,500",Female,Some college,12/14/00,No,29,Unmarried
Wind/Hail,13.663,No,264,3000,"10,000-49,999",Male,Did not complete high school,6/17/93,No,65,Unmarried
Fire/Smoke,173.563,No,405,3000,"2,500-9,999",Male,College degree,11/8/05,No,109,Married
Theft/Vandalism,24.492,No,486,1000,"> 250,000",Female,High school degree,6/17/97,No,47,Unmarried
